#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
81227;[int] Ошибка PostgreSQL [42883] при открытии присоединенных файлов объекта;ADP;Бизнес-объекты;not available;1,1
81215;Настройки расчета ресурсов плана не сохраняются в задании планировщика;KRA;Планирование заводское;old;3
81210;"Ошибка ""Oracle ORA-01455"" при расчете производственной программы";KAD;Планирование заводское;new;1
81207;Сломали отображение прихода партий в карточках ;REI;Складской учет;not available;0
81205;Нет возможности импортировать ТП на статусе Аннул при выполнении импорта из ЭЖН;DMY;Техпроцессы;zakazchik;3,05
81196;Падение при расчёте ПП;KAD;Планирование заводское;new;2,3
81193;Зацикливания при выполнении автопереносов основных этапов в КСО АП;MNE;FOP/FOS;new;14,7
81171;Наряды. Расчет ЗП для работников с косвенно-сдельной оплатой труда ;CHIG;Учет в производстве;new;1,3
81170;[int] Ошибка обновления нормы расхода основного материала: Норма не может быть обновлена!;DMY;Мат. нормативы;support;1,3
81161;Ошибка наследования значения поля Номер ИМН норм расхода осн и вспом материала на КЭ при смене родительской ревизии КЭ;DMY;Мат. нормативы;support;0,5
81159;Дублировании записей при запуске импорт архива на PG. Отсутствие записей об инструкциях;ADP;Бизнес-объекты;not available;4,7
81157;Ошибка сохранения зависимости ТП от МО;DMY;Техпроцессы;old;3
81149;[int] Не сохраняется зависимость ТП;DMY;Техпроцессы;new;2,55
81146;Ошибка PostgreSQL [22004] при изменении/добавлении значения атрибута в отчет настройки содержимого;ADP;Бизнес-объекты;postgre;4,4
81127;[int] Устранение ошибки при открытии ПП без диаграммы Ганта;KAD;Планирование заводское;new;2
81120;Переименовать отчет Договоры\ Отчеты\ Сроки реализации внебиржевых сделок в Договоры\ Отчеты\ Сроки регистрации внебиржевых сделок;ASA;Договоры;postanovka;3
81115;"Изменение логики при построение отчета ""Изделия из""";MSV;Мат. нормативы;new;14,75
81114;Postgre. Некорректная работа форм для пользовательских БО, имеющих настройку содержимого;PMG;Бизнес-объекты;postgre;4,3
81111;Ошибка при копировании  технологических операций ;DMY;Техпроцессы;zakazchik;2,5
81101;Ошибка копирования исполнителя перехода при добавлении операции в редакторе ТП;DMY;Техпроцессы;old;3,4
81088;Ошибка установки значений атрибутов при импорте из PDM;MNE;Мат. нормативы;new;11,25
81084;[int] Падение при импорте нормы расхода осн. мат-ла через универсальный XML импорт;DMY;Мат. нормативы;new;1,3
81082;"Ошибка в работе ккм ""Добавить копированием от БО""";ADP;Бизнес-объекты;regressive;7,3
81080;Некорректно подтягивается норма расхода вспом. материала зависимая от заказа в потребность мат-лов;DMY;Мат. нормативы;zakazchik;1,3
81075;Ошибка ORA-00936: missing expression и падение при выборе цеха в фильтре отчета Нормы по цехам (вспом);DMY;Мат. нормативы;old;6,2
81067;При создании КР в качестве добавляемого и удаляемого элемента может быть выбран один и тот же элемент;ADP;Констр. объекты;zakazchik;1
81061;Ошибка импорта профессий рабочих;KAD;Кадры;new;5
81060;Падение Омеги при добавлении оборудования, мат-ла в дерево ТП;DMY;Техпроцессы;regressive;2,1
81059;[int] Ошибки на PG: Не удаляется тип БО созданный копированием. Некорректный перечень атрибутов от объекта;PMG;Бизнес-объекты;postgre;4,3
81057;[int] Ошибка PG при открытии содержимого ИИМ;MNE;Маршруты;support;7
81050;[int] Затирается наименование операции при изменении номера и свойств;DMY;Техпроцессы;new;0,2
81040;Некорректно работает сортировка БО в гридах;DMY;Техпроцессы;regressive;4,7
81039;[int] Падение системы при закрытии окна Содержимое проекта с помощью тестировщика;AVS;Планирование проектное;new;3,6
81037;Ошибка PostgreSQL [42703] при добавлении типа БО копированием ;ADP;Бизнес-объекты;regressive;8,9
81028;Корректировка импорта инструкции и карт эскиза ;ADP;Бизнес-объекты;new;2
81017;Ошибка DLL - OmTechProcUI.dll при открытии от инструкции входимость в ТП ;ADP;Техпроцессы;refactoring;2,6
81008;Падение при добавлении оснастки на операцию ТП перетягиванием через Drag&Drop из справочника Вся оснастка в дерево ТП;DMY;Техпроцессы;old;1,55
81007;Ошибка Oracle ORA-01407 при создании ВЗН;AVS;Учет в производстве;old;3,3
80990;Ошибка сохранения сортировки на закладке детали типового ТП;DMY;Техпроцессы;old;5
80969;Исчезает текст перехода при редактировании;DMY;Техпроцессы;old;3,25
80955;[int] Ошибка постгре в выборке по всем изделиям ;ADP;Констр. объекты;not available;1,5
80946;[int] Некорректный расчет стоимости операции в ПП;DMY;Планирование заводское;new;6,65
80944;"Слетает вид операции Внешний ТП на ""пусто"" в редакторе ТП при обновлении из классификатора тех. операций";DMY;Техпроцессы;regressive;4,25
80942;Пропала возможность добавления копированием настраиваемого содержимого ;ADP;Бизнес-объекты;new;3,9
80937;При импорте содержимого документов в результатах на одну ошибку больше, чем отображается в протоколе ;ADP;Бизнес-объекты;new;2,1
