#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
76598;[int] ORA-01400 при создании ревизии ТП;DMY;Техпроцессы;not available;0,33
76597;Вылетает омега при добавлении содержимого в спецификацию заказа;PMG;Планирование цеховое;refactoring;2
76590;Ошибка связи при перемещении вложенной задачи в списке задач содержимого общего проектного плана;KAD;Планирование проектное;postanovka;4,2
76589;падение Омеги при работе с каталогами;KYD;Каталоги;regressive;3,5
76585;[int] Ошибка Oracle ORA-00904 - не открывается ТП;DMY;Техпроцессы;new;0,6
76577;В содержимом ПО, созданном от ЗнР, не учитывается коэффициент пересчета;SPS_KAD_KRA_MNE;Снабжение;old;3
76569;"Не верное представление ""итого  по  цветным металлам ""  в отчете ""Нормы расхода жидкого металла и шихты по составу узлов и изделий""";DMY;Металлург. пр-во;new;4,9
76558;Потоки работ 2.0. При изменении статуса работы с выполняется на выполнено возникает ошибка об отсутствии согласования;PMG;Потоки работ;not available;4,9
76556;Падение Омеги при открытии отчета;REI;Складской учет;new;3,85
76554;Убрать слэши в конце строк с vcd-кодами после получения панели из dmo.LoadByFilter;GIY;FOP/FOS;new;3
76545;Добавление Материала на операцию по ккм;DMY;Техпроцессы;postanovka;0,75
76544;Ошибка объекта доступа к данным: schedMng->SaveLotsSchedule - Невозможно сохранить производственное расписание;KAD;Планирование заводское;new;2,1
76542;[int] Некорректное отображение заголовка в окне фильтра Тарифных ставок;MNE;Трудовые нормативы;new;3,5
76540;Сохранение выбранной спецификации оснастки в Карте наладке;DMY;Техпроцессы;postanovka;0,2
76539;Генераторные отчеты;AVS;Складской учет;new;1,45
76533;[int] Пустой список при формировании справочника Бригад рабочих;KAD;Базовые справочники;new;1,6
76525;[int] Потоки работ 2.0. Отображения в диспетчере времени выполнения;BIV;Потоки работ;old;2,6
76524;"Не очищается атрибут ""Ссылка на СО марки материала"" в карточке свойств детали, вкладка атрибуты";ADP;Констр. объекты;new;17,65
76517;Ошибка при добавлении года в производственный календарь на базе РХМ;MNE;Базовые справочники;new;25,25
76516;При изменении Наименования Технологического материала, автоматически не обновляется наименование сборочного материала;DMY;Мат. нормативы;support;0,9
76509;[int] Не удается удалить накладную, сгенерированную от операции МЛ;AVS;Учет в производстве;regressive;3,55
76505;РО. Не отображается ЕИ в присоединенной форме;ASA;Снабжение;new;2,3
76501;Дублирование операций при вставке новой;DMY;Техпроцессы;new;0,5
76498;Ошибка создания новой спецификации;PMG_ADP_BIV_KYD_MPS;Констр. объекты;zakazchik;0,6
76495;Справочник Заводских накладных расходов. ;KRA;Нормативные затраты;old;1,4
76487;[int] Ошибка ORA-04091 при удалении операции в редакторе ТП;MNS;Техпроцессы;new;2,75
76485;"Некорректный пересчет ""Подлежит заказу"" в блоке ""Обеспеченность"" при корректировке ЕИ и заменителя в ЗнР";SPS_KAD_KRA_MNE;Складской учет;old;2
76470;При повторном импорте КР из XML не происходит замены заказов;ADP;Констр. объекты;support;2
76467;При повторном импорте КР из XML не происходит замены элементов.;ADP;Констр. объекты;support;1
76465;"Не происходит вставка скопированного нормативного веса в присоединенной форме ""Состав КВ""";MNE;Складской учет;new;32,3
76458;Невозможно аннулировать норму расхода основного материала из ТП;DMY;Техпроцессы;old;1,5
76451;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при удалении АПН с составом;AVS;Складской учет;postgre;0,7
76447;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при удалении акта изменения заказа партии;AVS;Складской учет;postgre;3,25
76443;[int] PostgreSQL: Ошибка PostgreSQL [42601] - при создании материала-сплава;MNS;Металлург. пр-во;postgre;1,2
76439;[int] PostgreSQL: Ошибка PostgreSQL [42601] - при добавлении состава в ИИМ;MNS;Маршруты;postgre;0,8
76437;"Ошибка отображения данных в группе колонок ""Базовый план"" в отчете Списка общего проекта";KAD;Планирование проектное;new;4,6
76436;При повторном импорте КР из XML не происходит замены элементов.;ADP;Констр. объекты;modification;7
76435;[int] Ошибка сохранения множественного и параллельных маршрутов;DMY;Маршруты;new;0,4
76433;[int] Ошибка Объект не поддерживает интерфейс;ADP;Оснастка;refactoring;4,9
76432;"В протоколе актуализации ПП выходит ""Изменены остатки"", хотя это не так";KAD;Планирование заводское;old;7,1
76424;Зависание системы при актуализации ПП после установки признака Объединять ДСЕ в одну партию по всему заказу. ;MNE;Планирование заводское;new;52,5
76412;УП/Параметры/Общие параметры/Списание состава;ASA;Учет в производстве;modification;2,3
76395;Не добавляется норма через КР по коэффициенту;PMG;Мат. нормативы;old;6
76376;Ошибки в работе с блоками ОКТП после выполнения additionals.CreateOKTPCopy, revisions.CreateNewRevision;CHIG;FOP/FOS;new;5,5
76375;"Ошибка Фильтра производственного расписания при комбинации значений Структуры ""Дерево партий"" + Типы КЭ в Списке производственных программ ";KAD;Планирование заводское;postanovka;5,2
76349;[int] Не применяются значения атрибутов при редактировании;ADP;Констр. объекты;support;2,5
